,epsilon,shokri_mi_adv,precision,attack_adv,tpr,fpr,run,dimension
54,3.0,0.03999999999999998,0.5301204819277109,0.03999999999999998,[0.    0.352 1.   ],[0.    0.312 1.   ],4,2
55,3.0,0.0,0.5,0.0,[0.    0.128 1.   ],[0.    0.128 1.   ],5,2
56,3.0,-0.08000000000000002,0.45689655172413796,-0.08000000000000002,[0.    0.424 1.   ],[0.    0.504 1.   ],6,2
57,3.0,0.12,0.5842696629213483,0.12,[0.    0.416 1.   ],[0.    0.296 1.   ],7,2
58,3.0,0.07200000000000001,0.5436893203883495,0.07200000000000001,[0.    0.448 1.   ],[0.    0.376 1.   ],8,2
59,3.0,-0.008000000000000007,0.49206349206349204,-0.008000000000000007,[0.    0.248 1.   ],[0.    0.256 1.   ],9,2
60,3.5,-0.00799999999999998,0.4883720930232558,-0.00799999999999998,[0.    0.168 1.   ],[0.    0.176 1.   ],0,2
61,3.5,0.07199999999999998,0.6046511627906976,0.07199999999999998,[0.    0.208 1.   ],[0.    0.136 1.   ],1,2
62,3.5,-0.064,0.45918367346938777,-0.064,[0.   0.36 1.  ],[0.    0.424 1.   ],2,2
63,3.5,-0.02400000000000002,0.48854961832061067,-0.02400000000000002,[0.    0.512 1.   ],[0.    0.536 1.   ],3,2
64,3.5,-0.016000000000000014,0.4895833333333333,-0.016000000000000014,[0.    0.376 1.   ],[0.    0.392 1.   ],4,2
65,3.5,0.064,0.5350877192982456,0.064,[0.    0.488 1.   ],[0.    0.424 1.   ],5,2
66,3.5,0.06399999999999995,0.5512820512820513,0.06399999999999995,[0.    0.344 1.   ],[0.   0.28 1.  ],6,2
67,3.5,0.03200000000000003,0.53125,0.03200000000000003,[0.    0.272 1.   ],[0.   0.24 1.  ],7,2
68,3.5,-0.055999999999999994,0.4507042253521127,-0.055999999999999994,[0.    0.256 1.   ],[0.    0.312 1.   ],8,2
69,3.5,0.08000000000000007,0.5390625,0.08000000000000007,[0.    0.552 1.   ],[0.    0.472 1.   ],9,2
70,5.0,-0.05600000000000005,0.46236559139784944,-0.05600000000000005,[0.    0.344 1.   ],[0.  0.4 1. ],0,2
71,5.0,0.0,0.5,0.0,[0.    0.568 1.   ],[0.    0.568 1.   ],1,2
72,5.0,-0.016000000000000014,0.49056603773584906,-0.016000000000000014,[0.    0.416 1.   ],[0.    0.432 1.   ],2,2
73,5.0,0.03999999999999998,0.5217391304347826,0.03999999999999998,[0.   0.48 1.  ],[0.   0.44 1.  ],3,2
74,5.0,-0.03199999999999997,0.48,-0.03199999999999997,[0.    0.384 1.   ],[0.    0.416 1.   ],4,2
75,5.0,0.04800000000000004,0.5197368421052632,0.04800000000000004,[0.    0.632 1.   ],[0.    0.584 1.   ],5,2
76,5.0,0.0,0.5,0.0,[0.    0.504 1.   ],[0.    0.504 1.   ],6,2
77,5.0,0.088,0.5846153846153846,0.088,[0.    0.304 1.   ],[0.    0.216 1.   ],7,2
78,5.0,-0.04799999999999999,0.4583333333333333,-0.04799999999999999,[0.    0.264 1.   ],[0.    0.312 1.   ],8,2
79,5.0,-0.03199999999999997,0.4830508474576271,-0.03199999999999997,[0.    0.456 1.   ],[0.    0.488 1.   ],9,2
80,7.0,-0.040000000000000036,0.48366013071895425,-0.040000000000000036,[0.    0.592 1.   ],[0.    0.632 1.   ],0,2
81,7.0,0.20800000000000007,0.6140350877192983,0.20800000000000007,[0.   0.56 1.  ],[0.    0.352 1.   ],1,2
82,7.0,0.0,0.5,0.0,[0.    0.328 1.   ],[0.    0.328 1.   ],2,2
83,7.0,-0.023999999999999966,0.4782608695652174,-0.023999999999999966,[0.    0.264 1.   ],[0.    0.288 1.   ],3,2
84,7.0,-0.03200000000000003,0.4782608695652174,-0.03200000000000003,[0.    0.352 1.   ],[0.    0.384 1.   ],4,2
85,7.0,0.10399999999999998,0.5474452554744526,0.10399999999999998,[0.  0.6 1. ],[0.    0.496 1.   ],5,2
86,7.0,-0.06399999999999995,0.4714285714285714,-0.06399999999999995,[0.    0.528 1.   ],[0.    0.592 1.   ],6,2
87,7.0,0.05600000000000005,0.5271317829457365,0.05600000000000005,[0.    0.544 1.   ],[0.    0.488 1.   ],7,2
88,7.0,0.008000000000000007,0.5050505050505051,0.008000000000000007,[0.  0.4 1. ],[0.    0.392 1.   ],8,2
89,7.0,0.09600000000000003,0.5576923076923077,0.09600000000000003,[0.    0.464 1.   ],[0.    0.368 1.   ],9,2
90,9.0,0.02400000000000002,0.5132743362831859,0.02400000000000002,[0.    0.464 1.   ],[0.   0.44 1.  ],0,2
91,9.0,0.08799999999999997,0.5329341317365269,0.08799999999999997,[0.    0.712 1.   ],[0.    0.624 1.   ],1,2
92,9.0,0.008000000000000007,0.5027624309392266,0.008000000000000007,[0.    0.728 1.   ],[0.   0.72 1.  ],2,2
93,9.0,-0.05600000000000005,0.4785276073619632,-0.05600000000000005,[0.    0.624 1.   ],[0.   0.68 1.  ],3,2
94,9.0,-0.064,0.4666666666666667,-0.064,[0.    0.448 1.   ],[0.    0.512 1.   ],4,2
95,9.0,0.06399999999999995,0.5294117647058824,0.06399999999999995,[0.    0.576 1.   ],[0.    0.512 1.   ],5,2
